Month,United States : all fuels (utility-scale) thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : wind thousand megawatthours,United States : all solar thousand megawatthours
Mar-14,331823.059,136442.6013,78150.91836,62397.08,24257.12925,17735.8829,2224.12366
Feb-14,324348.4356,143294.4875,75942.31445,62638.95,17396.12893,14008.66045,1498.82093
Jan-14,377254.711,157097.3686,91060.93439,73162.609,21633.79467,17911.21433,1375.15155
Dec-13,353021.2477,141859.6654,92936.2913,71293.578,21128.29918,13967.05881,
Nov-13,314539.6419,120939.7298,84286.78492,64975.456,17676.83384,15803.25968,
Oct-13,314925.4625,120996.3929,88587.40151,63183.533,17198.59414,13635.01809,
Sep-13,340940.9016,133110.4373,102063.2333,65798.971,16961.1523,11674.08115,
Aug-13,385285.7452,149426.0529,121156.397,71344.379,21633.31561,9633.88368,
Jul-13,394845.6208,152866.8527,120770.9808,70539.238,27254.5715,11093.61355,
Jun-13,356822.6472,138283.216,99615.06431,66429.69,27384.06656,13748.10576,
May-13,322155.6404,119512.5,83815.59186,62848.155,28450.09411,16238.70213,
Apr-13,299332.8683,111834.6825,78036.43182,56766.882,25097.10474,17476.27429,
Mar-13,325398.834,130633.5604,84725.25919,62947.389,20534.35802,15755.65337,
Feb-13,309728.08,123546.8048,80283.07377,61483.385,20418.46514,14075.59068,
Jan-13,348967.3779,138104.8211,88559.05007,71405.817,24828.52759,14738.50426,
Dec-12,334634.7492,134078.9076,83989.0974,68583.669,22984.35228,14523.51758,
Nov-12,305975.851,128727.0657,80169.46107,56712.757,18733.31916,11648.4968,
Oct-12,311651.9307,120999.3388,91725.37056,59743.218,16501.69662,12635.90112,
Sep-12,334585.5627,125588.6081,108012.3007,64510.882,17603.96419,8789.86546,
Aug-12,395699.7492,152181.0552,131735.8644,69602.111,23033.72581,8469.41899,
Jul-12,414641.2175,160450.2625,138862.85,69129.329,26491.04579,8823.083,
Jun-12,360825.3809,131261.0361,115597.5032,65140.085,26657.66222,11972.15949,
May-12,336516.156,115982.6466,107351.8123,62081.445,28641.31224,12540.32427,
Apr-12,295229.2049,96285.44067,94828.59637,55870.931,26295.39842,12709.03261,
Mar-12,309089.5521,105525.5468,92250.65327,61728.613,25906.63425,14027.34496,
Feb-12,309389.4325,113872.0469,90609.78234,63847.023,20283.9644,11051.71417,
Jan-12,339526.4801,129090.9898,90760.88378,72381.186,23107.14392,13630.85627,
Dec-11,335740.4628,132928.7161,86121.62582,71837.372,23731.94371,10655.77473,
Nov-11,304102.1544,121462.7108,75441.29818,64473.88,20680.52743,12438.55312,
Oct-11,308698.5036,126626.9728,78819.20708,63336.97,19787.38961,10525.42896,
Sep-11,337931.3176,140941.1491,91739.07009,66848.854,21377.59172,6869.0293,
Aug-11,406511.3147,171280.5339,119855.7926,71338.566,25763.57824,7473.59402,
Jul-11,418692.7546,176585.8197,119623.5911,72344.85,31284.63456,7488.62905,
Jun-11,367727.015,158055.2126,90691.11156,65270.134,32151.21433,10985.06912,
May-11,323628.2381,137101.565,75242.79679,57012.914,32586.92609,11772.16075,
Apr-11,302400.7244,124488.2575,70028.99891,54547.338,31194.3065,12421.65683,
Mar-11,318709.9409,134845.2314,65947.12043,65661.598,31134.47075,10544.64605,
Feb-11,313126.6071,138311.1572,65923.98289,64789.078,24131.22605,10451.5619,
Jan-11,362871.893,170802.6793,74254.33381,72742.813,25531.09446,8550.4948,
Dec-10,362119.0813,167258.0862,77573.32016,73683.304,23169.07145,9059.29736,
Nov-10,306009.6291,135185.0454,69226.55984,62655.206,19561.55003,9747.6191,
Oct-10,307920.6906,132269.8351,77738.33651,62750.833,17682.97635,7943.80761,
Sep-10,346045.1718,148745.6717,93004.17649,69371.195,17265.20646,7105.5022,
Aug-10,408884.1554,177745.3201,121151.2686,71574.103,20119.23218,6685.85505,
Jul-10,409725.4404,179600.4991,114624.2019,71913.468,24516.76133,6723.89118,
Jun-10,375759.4784,165491.4889,92268.43063,68301.32156,29853.82693,8049.02142,
May-10,327936.4916,143272.4936,73665.43824,66658.365,25079.21697,8697.52487,
Apr-10,287800.2266,126951.8853,64644.025,57611.073,19096.66257,9764.45598,
Mar-10,312167.6403,144405.6332,63430.66033,64634.721,20885.6628,8589.07682,
Feb-10,319734.7267,153044.1591,66198.08,65245.37,20589.82989,5431.85793,
Jan-10,360957.167,173320.1609,74172.73601,72569.341,22383.07243,6854.33658,
Dec-09,350507.2953,166434.0356,71589.60705,70710.218,24729.80834,6906.05833,
Nov-09,296634.67,136809.5752,63285.13196,59069.208,21007.70089,6875.18302,
Oct-09,307040.3407,139955.5774,72602.72548,58020.927,19691.06826,6813.62592,
Sep-09,327400.6119,137144.648,92126.61784,65751.794,17358.71392,4650.70788,
Aug-09,381221.4169,163260.4831,109239.5541,72244.597,19580.41655,5464.47362,
Jul-09,372542.2255,158233.8691,101893.8325,72948.979,23384.74817,4954.94132,
Jun-09,347658.2413,148086.7711,84205.18154,69734.736,29233.39456,5599.42191,
May-09,311305.8722,131673.0575,68145.64662,65395.452,29559.65512,6261.9611,
Apr-09,289537.2551,125934.9731,61158.67362,59408.407,25769.8074,7457.69602,
Mar-09,310602.9638,135530.3278,68202.74331,67240.567,21827.45353,7099.06292,
Feb-09,300887.3977,140915.7848,62138.85332,64227.211,17812.03175,5852.17501,
Jan-09,354992.6362,171925.1503,66390.11321,74102.489,23490.29569,5950.82465,
Dec-08,343898.2545,167785.7305,64363.64603,72931.328,20861.49062,6615.89854,
Nov-08,310046.2412,154281.198,61454.19852,63408.145,15667.93401,4993.64564,
